Date,Open,High,Low,Close,Adj Close,Volume
2010-08-23,66678.000000,67175.000000,65982.000000,65982.000000,65982.000000,1379600
2010-08-24,65946.000000,65946.000000,65013.000000,65156.000000,65156.000000,1604200
2010-08-25,65156.000000,65156.000000,64164.000000,64803.000000,64803.000000,1753000
2010-08-26,64802.000000,65271.000000,63804.000000,63867.000000,63867.000000,1773400
2010-08-27,63875.000000,65589.000000,63848.000000,65585.000000,65585.000000,1764000
2010-08-30,65585.000000,65585.000000,64255.000000,64261.000000,64261.000000,1286400
2010-08-31,64262.000000,65182.000000,64202.000000,65145.000000,65145.000000,3284800
2010-09-01,65154.000000,67073.000000,65154.000000,67073.000000,67073.000000,2509000
2010-09-02,67073.000000,67168.000000,66405.000000,66808.000000,66808.000000,1601200
2010-09-03,66812.000000,67673.000000,66541.000000,66679.000000,66679.000000,2019200
2010-09-06,66679.000000,66949.000000,66380.000000,66747.000000,66747.000000,651400
2010-09-08,66739.000000,66739.000000,66101.000000,66407.000000,66407.000000,1716000
2010-09-09,66411.000000,66807.000000,66353.000000,66624.000000,66624.000000,1438800
2010-09-10,66622.000000,66920.000000,66459.000000,66807.000000,66807.000000,1561000
2010-09-13,66807.000000,68142.000000,66807.000000,68031.000000,68031.000000,2144400
2010-09-14,68030.000000,68093.000000,67561.000000,67692.000000,67692.000000,2594000
2010-09-15,67690.000000,68107.000000,67119.000000,68107.000000,68107.000000,2234200
2010-09-16,68103.000000,68103.000000,67507.000000,67663.000000,67663.000000,1464400
2010-09-17,67665.000000,67773.000000,66993.000000,67089.000000,67089.000000,1629400
2010-09-20,67087.000000,68241.000000,67009.000000,68190.000000,68190.000000,1775200
2010-09-21,68189.000000,68255.000000,67528.000000,67719.000000,67719.000000,1734000
2010-09-22,67711.000000,68549.000000,67346.000000,68325.000000,68325.000000,2495200
2010-09-23,68321.000000,69601.000000,67892.000000,68794.000000,68794.000000,3305200
2010-09-24,68800.000000,69571.000000,68021.000000,68196.000000,68196.000000,3441000
2010-09-27,68197.000000,68926.000000,68011.000000,68816.000000,68816.000000,2138600
2010-09-28,68817.000000,69431.000000,68455.000000,69228.000000,69228.000000,1851800
2010-09-29,69225.000000,69420.000000,68958.000000,69228.000000,69228.000000,3067200
2010-09-30,69230.000000,69737.000000,68924.000000,69430.000000,69430.000000,2466200
2010-10-01,69438.000000,70243.000000,69228.000000,70229.000000,70229.000000,2452600
2010-10-04,70230.000000,70551.000000,70089.000000,70385.000000,70385.000000,1876800
2010-10-05,70390.000000,71285.000000,70390.000000,71283.000000,71283.000000,2713000
2010-10-06,71284.000000,71290.000000,70343.000000,70541.000000,70541.000000,2780600
2010-10-07,70545.000000,70739.000000,69314.000000,69918.000000,69918.000000,2587200
2010-10-08,69921.000000,70828.000000,69698.000000,70809.000000,70809.000000,2136000
2010-10-11,70810.000000,71111.000000,70810.000000,70946.000000,70946.000000,1169000
2010-10-13,70950.000000,71995.000000,70950.000000,71675.000000,71675.000000,2985000
2010-10-14,71676.000000,71961.000000,71264.000000,71692.000000,71692.000000,2633000
2010-10-15,71699.000000,72140.000000,71351.000000,71830.000000,71830.000000,2015200
2010-10-18,71830.000000,71884.000000,71341.000000,71736.000000,71736.000000,2111600
2010-10-19,71735.000000,71735.000000,69628.000000,69864.000000,69864.000000,2495200
2010-10-20,69863.000000,70720.000000,69814.000000,70405.000000,70405.000000,2407200
2010-10-21,70406.000000,70958.000000,68952.000000,69652.000000,69652.000000,2587800
2010-10-22,69658.000000,70312.000000,68847.000000,69530.000000,69530.000000,2421600
2010-10-25,69536.000000,70231.000000,69451.000000,69580.000000,69580.000000,3836000
2010-10-26,69582.000000,70834.000000,69055.000000,70740.000000,70740.000000,2576800
2010-10-27,70735.000000,70844.000000,70059.000000,70569.000000,70569.000000,2202600
2010-10-28,70573.000000,71263.000000,70234.000000,70320.000000,70320.000000,2230200
2010-10-29,70322.000000,70776.000000,70322.000000,70673.000000,70673.000000,2208800
2010-11-01,70686.000000,71751.000000,70673.000000,71561.000000,71561.000000,1555000
